dc_type_de,gnd_uri
Festschrift,https://d-nb.info/gnd/4016928-5
Feuerzeug,FL4O2JV5JQWLVMIF45XXFP4SWZOYLQWC
Figur,AODYOUB5X4ZYFDLJ4TGMVRFUQ5L2UPGJ
Figur / Frau,http://d-nb.info/gnd/4018202-2
Figurgefäß,M53ITT7N2FV4627APW3ZETXQKHX6VJNU
Fiktionale Darstellung,https://d-nb.info/gnd/1071854844
Film,X3KN7NCUCZGJ3NQQ6NJXATPGX25WLBVU
Filmanfang,http://filmportal.vocnet.org/specificType/st00066
Filmprogramm,KGFQJK6RQV4RQZQLXF7HPKKPD4UKQZLM
Filmszene,6LWK4PHA5EJK75Z5ZA5NXGN2UBJIUK2B
Flasche,http://d-nb.info/gnd/4154567-9
Flugblatt,B4ION23M3CL6HFBATGIJ4JYMYT7S2SRY
Flugblatt / Plakat,
Flugschrift,https://d-nb.info/gnd/4154770-6
Flächendenkmal,5BHDM4FONSXADEW3VHVIPZEVTYD5NX3E
Folge,JBHY5SGSS4NOC7AE5N6OKYHVJUMXCR3Z
Forschungs- und Entwicklungsbericht,QGC44SNVEO45XG6MUGBACR7EEEK7AFZ3
Forschungsbericht,http://d-nb.info/gnd/4155043-2
Fortlaufendes Sammelwerk,http://ddb.vocnet.org/hierarchietyp/ht023
Foto,http://d-nb.info/gnd/4045895-7
Fotoalbum,DJVX2BT7X2HN24O6YRDOQM6T3CNZYYY6
Fotocollage,http://d-nb.info/gnd/4045920-2
Fotografie,http://d-nb.info/gnd/4045895-7
Fotografie (Lichtbild),http://d-nb.info/gnd/4045895-7
Fotografie einer Zeichnung,CS46O5IFI56M3G5RZOO3LZXNDLC3RZUE
Fotografie eines Pastells,UA3VTWU7OBNKKXWG6QGB2WM37ZDY6SGP
Fotografisches Negativ,H77QY3NE6WU2HTGN7KDNQA6PG36HIARW
Fotogramm,J2WKVPWC3RNHCAHHS6Q7LC23AU3Y57XM
Fotokonvolut,IURPMOARPCZOBS5UH5EZH6P2P4VGMHQZ
Fotokopie,FIF3XRAB5J6QCYRLNACS4LSOZUZ6BLNJ
Fotokopien und handschriftliche und schreibmaschinengetippte Notizen,NCY5GXZYSIC7B4MF5HL75BQXBLX37H7Z
Fotomappe,Y3QAT4PKJ7H7AEZOGMFHLKV6YK2DALJC
Fotomechanische Reproduktion,VVONVRJVMWGTOURBZN5F23IFIUSPVEQO
Fotoreproduktion,NYFS5XLZ6WNEEJGGNDAXD7VGKD7AMN2A
Fotos,GETNK3CXFCXATSYBL6NT737DKFPYQFCS
